playerID,year,SeasonsPlayed,Games,AtBats,Runs,Hits,Doubles,Triples,HomeRuns,RunsBattedIn,StolenBases,CaughtStealing,Walks,Strikeouts,IntentionalWalks,HitsByPitch,SacrificeHits,SacrificeFlies,GroundedIntoDoublePlays,BattingAverage,OnBasePercentage,SluggingPercentage,isArbitrationEligible,isFreeAgent,year_salary,teamID,salary,LogSalary,LogSalaryDifference,SalaryRatio
adamsma01,2013,0,108,296,46,84,14,0,17,51.0,0.0,1.0,23,80.0,0.0,0.0,0.0,0.0,9.0,0.28378378378378377,0.335423197492163,0.5033783783783784,False,False,2014,SLN,516000,5.712649701627211,-0.09202831041312987,0.8090431582536064
adamsma01,2014,1,142,527,55,152,34,5,15,68.0,3.0,2.0,26,114.0,5.0,3.0,0.0,7.0,9.0,0.2884250474383302,0.32149200710479575,0.4573055028462998,False,False,2015,SLN,534000,5.727541257028556,0.2168858728026386,1.6477293318175208
adamsma01,2015,2,60,175,14,42,9,0,5,24.0,1.0,0.0,10,41.0,1.0,0.0,0.0,1.0,1.0,0.24,0.27956989247311825,0.37714285714285717,False,False,2016,SLN,1650000,6.217483944213907,-0.7258110144235372,0.18801347895699144
adamsru01,2005,0,139,481,68,123,27,5,8,63.0,11.0,2.0,50,57.0,1.0,3.0,3.0,8.0,5.0,0.25571725571725573,0.3247232472324723,0.38253638253638256,False,False,2006,TOR,343000,5.535294120042771,0.10627396177524062,1.2772442663460633
agbaybe01,1999,0,101,276,42,79,18,3,14,42.0,6.0,4.0,32,60.0,4.0,3.0,0.0,3.0,8.0,0.286231884057971,0.3630573248407643,0.5253623188405797,False,False,2000,NYN,220000,5.342422680822207,0.2615410604860733,1.826169396579481
agbaybe01,2000,1,119,350,59,101,19,1,15,60.0,5.0,5.0,54,68.0,2.0,7.0,0.0,3.0,6.0,0.2885714285714286,0.391304347826087,0.47714285714285715,False,False,2001,NYN,260000,5.414973347970818,0.27308494271388195,1.8753612700343256
agbaybe01,2001,2,91,296,28,82,14,2,6,27.0,4.0,5.0,36,73.0,0.0,5.0,1.0,1.0,11.0,0.27702702702702703,0.363905325443787,0.39864864864864863,False,False,2002,COL,600000,5.778151250383644,-0.09466068907023306,0.8041541562558483
aguaylu01,1985,0,91,165,27,46,7,3,6,21.0,1.0,0.0,22,26.0,5.0,6.0,4.0,3.0,7.0,0.2787878787878788,0.37755102040816324,0.4666666666666667,False,False,1986,PHI,275000,5.439332693830263,-0.04526978856390329,0.9010112455084481
aguaylu01,1986,1,62,133,17,28,6,1,4,13.0,1.0,1.0,8,26.0,0.0,3.0,0.0,2.0,3.0,0.21052631578947367,0.2671232876712329,0.3609022556390977,False,False,1987,PHI,325000,5.511883360978874,-0.11252420170767596,0.7717485075501731
aguaylu01,1987,2,94,209,25,43,9,1,12,21.0,0.0,0.0,15,56.0,1.0,5.0,3.0,2.0,5.0,0.20574162679425836,0.2727272727272727,0.430622009569378,False,False,1988,PHI,375000,5.574031267727719,-0.04955299749259012,0.8921687404901535
aguaylu01,1988,3,50,140,12,35,4,0,3,8.0,0.0,2.0,7,33.0,1.0,1.0,0.0,1.0,4.0,0.25,0.28859060402684567,0.34285714285714286,True,False,1989,CLE,275000,5.439332693830263,0.5248701161772962,3.34865276506802
ahmedni01,2015,0,134,421,49,95,17,6,9,34.0,4.0,5.0,29,81.0,1.0,1.0,5.0,3.0,4.0,0.22565320665083136,0.2753303964757709,0.3586698337292161,False,False,2016,ARI,521600,5.7173375827238635,-0.2814707904996112,0.5230331428276657
alcanar01,2014,0,70,278,31,57,11,2,10,29.0,8.0,5.0,17,93.0,0.0,2.0,1.0,2.0,3.0,0.20503597122302158,0.25418060200668896,0.3669064748201439,False,False,2015,CHN,510000,5.707570176097937,-0.0464567263667055,0.8985521209424628
aldremi01,1986,0,84,216,27,54,18,3,2,25.0,1.0,3.0,33,34.0,4.0,2.0,4.0,1.0,3.0,0.25,0.3531746031746032,0.3888888888888889,False,False,1987,SFN,75000,4.8750612633917,0.524332216965151,3.344507829430656
aldremi01,1987,1,126,357,50,116,18,2,9,51.0,6.0,0.0,43,50.0,5.0,0.0,4.0,2.0,6.0,0.32492997198879553,0.39552238805970147,0.46218487394957986,False,False,1988,SFN,160000,5.204119982655925,0.3736920457798165,2.364242640265685
aldremi01,1988,2,139,389,44,104,15,0,3,50.0,6.0,5.0,56,65.0,13.0,0.0,1.0,3.0,10.0,0.26735218508997427,0.35714285714285715,0.32904884318766064,False,False,1989,MON,202500,5.306425027550687,0.14637643907876097,1.4008009870023481
aldremi01,1989,3,76,136,12,30,8,1,1,12.0,1.0,3.0,19,30.0,0.0,1.0,1.0,2.0,4.0,0.22058823529411764,0.31645569620253167,0.3161764705882353,True,False,1990,MON,297500,5.4734869700645685,0.31948616923876383,2.0868256647528645
aldremi01,1990,4,96,161,22,39,7,1,1,18.0,1.0,2.0,37,31.0,2.0,1.0,0.0,1.0,2.0,0.2422360248447205,0.385,0.3167701863354037,True,False,1991,SDN,510000,5.707570176097937,0.05518087578705266,1.1354836255746228
aldremi01,1993,6,95,255,40,68,13,1,10,33.0,1.0,1.0,34,45.0,2.0,0.0,3.0,0.0,7.0,0.26666666666666666,0.35294117647058826,0.44313725490196076,False,True,1994,OAK,430000,5.633468455579586,0.5232820894622972,3.336430552359902
aldremi01,1994,7,76,178,23,43,5,0,4,18.0,2.0,0.0,20,35.0,1.0,0.0,0.0,3.0,2.0,0.24157303370786518,0.31343283582089554,0.33707865168539325,False,True,1995,OAK,430000,5.633468455579586,0.40608592538518984,2.547334194102967
alexama02,1995,0,94,242,35,57,9,1,3,23.0,11.0,4.0,20,30.0,0.0,2.0,4.0,0.0,2.0,0.23553719008264462,0.29924242424242425,0.3181818181818182,False,False,1996,BAL,190000,5.278753600952829,0.03251113250629434,1.0777328794523995
alexama02,1997,1,54,149,26,37,9,3,2,15.0,11.0,0.0,9,38.0,1.0,1.0,1.0,1.0,3.0,0.2483221476510067,0.29375,0.38926174496644295,False,False,1998,CHN,425000,5.628388930050312,-0.10356218437815556,0.7878396166994368
alexama02,1998,2,108,264,34,60,10,1,5,25.0,4.0,1.0,18,66.0,1.0,1.0,5.0,1.0,6.0,0.22727272727272727,0.27816901408450706,0.32954545454545453,False,False,1999,CHN,475000,5.676693609624866,-0.2545575282090846,0.5564709172368182
alexama02,1999,3,90,177,17,48,11,2,0,15.0,4.0,0.0,10,38.0,0.0,0.0,1.0,1.0,1.0,0.2711864406779661,0.30851063829787234,0.3559322033898305,True,False,2000,BOS,612500,5.78710609303657,0.04054711245299014,1.0978603801823967
alfoned01,1995,0,101,335,26,93,13,5,4,41.0,1.0,1.0,12,37.0,1.0,1.0,4.0,4.0,7.0,0.27761194029850744,0.30113636363636365,0.382089552238806,False,False,1996,NYN,180000,5.2552725051033065,0.18072941177034973,1.5161054599446897
alfoned01,1996,1,123,368,36,96,15,2,4,40.0,2.0,0.0,25,56.0,2.0,0.0,9.0,5.0,8.0,0.2608695652173913,0.30402010050251255,0.3451086956521739,False,False,1997,NYN,215000,5.332438459915605,0.12449872485111602,1.331983131420052
alfoned01,1997,2,151,518,84,163,27,2,10,72.0,11.0,6.0,63,56.0,0.0,5.0,8.0,5.0,4.0,0.31467181467181465,0.39086294416243655,0.43243243243243246,False,False,1998,NYN,1750000,6.243038048686294,-0.5244016220294423,0.2989498762431954
alfoned01,1998,3,144,557,94,155,28,2,17,78.0,8.0,3.0,65,77.0,1.0,3.0,2.0,3.0,11.0,0.27827648114901254,0.35509554140127386,0.4272890484739677,True,False,1999,NYN,2800000,6.447158031342219,0.008080116913417257,1.0187793110628571
alfoned01,1999,4,158,628,123,191,41,1,27,108.0,9.0,2.0,85,85.0,2.0,3.0,1.0,9.0,14.0,0.304140127388535,0.38482758620689655,0.5015923566878981,True,False,2000,NYN,4225000,6.625826713285711,0.10848503245348073,1.283763526020359
alfoned01,2000,5,150,544,109,176,40,2,25,94.0,3.0,2.0,95,70.0,1.0,5.0,0.0,6.0,12.0,0.3235294117647059,0.4246153846153846,0.5422794117647058,True,False,2001,NYN,5750000,6.7596678446896306,-0.09930698278873074,0.7955967808519983
alfoned01,2001,6,124,457,64,111,22,0,17,49.0,5.0,0.0,51,62.0,0.0,5.0,1.0,5.0,7.0,0.24288840262582057,0.3223938223938224,0.4026258205689278,False,True,2002,NYN,6200000,6.7923916894982534,-0.2966605723932618,0.5050558752985703
alfoned01,2002,7,135,490,78,151,26,0,16,56.0,6.0,0.0,62,55.0,8.0,7.0,0.0,3.0,5.0,0.3081632653061224,0.3914590747330961,0.45918367346938777,False,True,2003,SFN,4000000,6.6020599913279625,0.04238610630875872,1.102519060402773
alfoned01,2003,8,142,514,56,133,25,2,13,81.0,5.0,2.0,58,41.0,4.0,4.0,3.0,7.0,14.0,0.2587548638132296,0.3344768439108062,0.39105058365758755,False,True,2004,SFN,6500000,6.812913356642856,-0.45116958849332267,0.3538591349620838
alfoned01,2004,9,139,519,66,150,26,1,11,77.0,1.0,1.0,46,40.0,2.0,5.0,2.0,4.0,15.0,0.28901734104046245,0.3501742160278746,0.40655105973025046,False,True,2005,SFN,7500000,6.8750612633917,-0.393834470221071,0.4037992702796087
alfoned01,2005,10,109,368,36,102,17,1,2,43.0,2.0,0.0,27,34.0,1.0,2.0,1.0,4.0,11.0,0.27717391304347827,0.3266832917705736,0.3451086956521739,False,True,2006,LAA,8000000,6.903089986991944,-0.6303786777327058,0.23421856847035982
alfonel01,2006,0,87,286,27,76,17,2,12,39.0,1.0,0.0,9,74.0,7.0,7.0,4.0,3.0,10.0,0.26573426573426573,0.3016393442622951,0.46503496503496505,False,False,2007,SFN,382000,5.5820633629117085,0.19480843166038575,1.5660601248460988
alicelu01,1992,1,85,265,26,65,9,11,2,32.0,2.0,5.0,27,40.0,1.0,4.0,2.0,4.0,5.0,0.24528301886792453,0.32,0.3849056603773585,False,False,1993,SLN,160000,5.204119982655925,0.14902097436066253,1.4093568620205548
alicelu01,1993,2,115,362,50,101,19,3,3,46.0,11.0,1.0,47,54.0,2.0,4.0,1.0,7.0,9.0,0.27900552486187846,0.3619047619047619,0.3729281767955801,False,False,1994,SLN,650000,5.812913356642856,-0.13886860075892038,0.7263256797910079
alicelu01,1994,3,88,205,32,57,12,5,5,29.0,4.0,5.0,30,38.0,4.0,3.0,1.0,3.0,1.0,0.2780487804878049,0.37344398340248963,0.4585365853658537,True,False,1995,BOS,800000,5.903089986991944,-0.009691178232391628,0.9779323701331681
alicelu01,1995,4,132,419,64,113,20,3,6,44.0,13.0,10.0,63,61.0,0.0,7.0,13.0,9.0,10.0,0.26968973747016706,0.3674698795180723,0.3747016706443914,True,False,1996,SLN,750000,5.8750612633917,0.2125293103310364,1.6312830000379228
alicelu01,1996,5,129,380,54,98,26,3,5,42.0,11.0,3.0,52,78.0,10.0,5.0,4.0,6.0,4.0,0.2578947368421053,0.34988713318284426,0.3815789473684211,True,False,1997,ANA,650000,5.812913356642856,0.41199670181855286,2.5822405801383366
alicelu01,1997,6,128,388,59,98,16,7,5,37.0,22.0,8.0,69,65.0,3.0,8.0,4.0,2.0,4.0,0.25257731958762886,0.3747323340471092,0.36855670103092786,False,True,1998,TEX,750000,5.8750612633917,0.33749203780875714,2.1751641550146763
alicelu01,1998,7,101,259,51,71,15,3,6,33.0,4.0,3.0,37,40.0,0.0,5.0,4.0,3.0,1.0,0.27413127413127414,0.3717105263157895,0.4247104247104247,False,True,1999,TEX,825000,5.9164539485499255,0.2054403113575436,1.6048716722996705
alicelu01,1999,8,68,164,33,33,10,0,3,17.0,2.0,1.0,28,32.0,0.0,0.0,3.0,1.0,4.0,0.20121951219512196,0.3160621761658031,0.3170731707317073,False,True,2000,TEX,750000,5.8750612633917,0.21484228375061676,1.6399940928501289
alicelu01,2000,9,139,540,85,159,25,8,6,63.0,1.0,3.0,59,75.0,1.0,5.0,7.0,7.0,13.0,0.29444444444444445,0.3649754500818331,0.40370370370370373,False,True,2001,KCA,800000,5.903089986991944,0.611654055795892,4.089347864237035
alicelu01,2001,10,113,387,44,106,16,4,4,32.0,8.0,6.0,23,56.0,0.0,4.0,3.0,1.0,6.0,0.2739018087855297,0.3204819277108434,0.3669250645994832,False,True,2002,KCA,800000,5.903089986991944,0.33714924904978805,2.173447974703955
allanan01,1986,0,101,293,30,66,7,3,1,29.0,10.0,1.0,14,36.0,0.0,1.0,11.0,4.0,7.0,0.22525597269624573,0.25961538461538464,0.27986348122866894,False,False,1987,CLE,75000,4.8750612633917,0.43784056182705466,2.740567870054839
allanan01,1987,1,50,154,17,41,6,0,3,16.0,1.0,1.0,9,30.0,0.0,0.0,4.0,5.0,2.0,0.2662337662337662,0.2976190476190476,0.36363636363636365,False,False,1988,CLE,102500,5.010723865391773,0.4204049917045154,2.63272193408821
allanan01,1988,2,133,434,44,114,11,0,5,50.0,5.0,9.0,25,63.0,2.0,3.0,8.0,4.0,6.0,0.2626728110599078,0.30472103004291845,0.3225806451612903,False,False,1989,CLE,235000,5.371067862271737,0.01568875217396748,1.0367851119363238
allenbr01,2011,0,41,146,18,30,9,2,3,11.0,2.0,0.0,11,55.0,1.0,0.0,0.0,1.0,0.0,0.2054794520547945,0.25949367088607594,0.3561643835616438,False,False,2012,OAK,482500,5.683497317679811,-0.11130926602524038,0.7739104910934802
allenje01,1996,0,61,229,32,60,9,3,4,31.0,11.0,6.0,23,50.0,0.0,4.0,2.0,2.0,2.0,0.26200873362445415,0.3372093023255814,0.3799126637554585,False,False,1997,PIT,160000,5.204119982655925,0.3309165986449507,2.142479122669784
allenje01,1997,1,108,369,55,94,18,2,3,43.0,14.0,7.0,44,79.0,1.0,7.0,9.0,6.0,5.0,0.25474254742547425,0.3403755868544601,0.33875338753387535,False,False,1998,PIT,260000,5.414973347970818,0.2248822910219701,1.6783490652362363
allenje01,1998,2,69,233,30,72,13,3,3,24.0,8.0,4.0,17,43.0,0.0,7.0,3.0,1.0,1.0,0.3090128755364807,0.37209302325581395,0.4291845493562232,False,False,1999,NYN,284000,5.453318340047038,0.162167535018936,1.452671897507762
almonbi01,1984,6,106,211,24,47,11,0,7,16.0,5.0,7.0,10,42.0,0.0,0.0,0.0,4.0,3.0,0.22274881516587677,0.25333333333333335,0.3744075829383886,False,True,1985,PIT,255000,5.4065401804339555,0.4346943655653952,2.7207858830257963
almonbi01,1985,7,88,244,33,66,17,0,6,29.0,10.0,7.0,22,61.0,0.0,1.0,4.0,3.0,6.0,0.27049180327868855,0.3296296296296296,0.4139344262295082,False,True,1986,PIT,260000,5.414973347970818,0.7253148166070851,5.31269417646827
almonbi01,1986,8,102,196,29,43,7,2,7,27.0,11.0,4.0,30,38.0,2.0,0.0,1.0,3.0,5.0,0.2193877551020408,0.31877729257641924,0.3826530612244898,False,True,1987,PIT,250000,5.3979400086720375,0.5322003525649972,3.405652660418462
alomaro01,1988,0,143,545,84,145,24,6,9,41.0,24.0,6.0,47,83.0,5.0,3.0,16.0,0.0,15.0,0.26605504587155965,0.3277310924369748,0.381651376146789,False,False,1989,SDN,150000,5.176091259055681,0.6318132514141652,4.283642822154293
alomaro01,1989,1,158,623,82,184,27,1,7,56.0,42.0,17.0,53,76.0,4.0,1.0,17.0,8.0,10.0,0.2953451043338684,0.34744525547445254,0.3756019261637239,False,False,1990,SDN,390000,5.5910646070264995,0.11144598005476336,1.2925459168105746
alomaro01,1990,2,147,586,80,168,27,5,6,60.0,24.0,7.0,48,72.0,1.0,2.0,5.0,5.0,16.0,0.28668941979522183,0.34009360374414976,0.38054607508532423,False,False,1991,TOR,1300000,6.113943352306837,-0.2539438737720534,0.5572577617170694
alomaro01,1991,3,161,637,88,188,41,11,9,69.0,53.0,11.0,57,86.0,3.0,4.0,16.0,5.0,5.0,0.29513343799058084,0.3541963015647226,0.4364207221350079,True,False,1992,TOR,2983333,6.474701732071724,-0.03965074923667622,0.9127445548491013
alomaro01,1992,4,152,571,105,177,27,8,8,76.0,49.0,9.0,87,52.0,5.0,5.0,6.0,2.0,8.0,0.30998248686514884,0.4045112781954887,0.4273204903677758,True,False,1993,TOR,4933333,6.693140431331072,-0.2780963126594216,0.5271129516253444
alomaro01,1993,5,153,589,109,192,35,6,17,93.0,55.0,15.0,80,67.0,5.0,5.0,4.0,5.0,13.0,0.32597623089983024,0.40795287187039764,0.4923599320882852,True,False,1994,TOR,5433334,6.735066402971959,-0.20320186441323695,0.6263226759679137
alomaro01,1994,6,107,392,78,120,25,4,8,38.0,19.0,8.0,51,41.0,2.0,2.0,7.0,3.0,14.0,0.30612244897959184,0.3861607142857143,0.45153061224489793,False,True,1995,TOR,5500000,6.740362689494244,-0.36849969045232456,0.42805572468703496
alomaro01,1995,7,130,517,71,155,24,7,13,66.0,30.0,3.0,47,45.0,3.0,0.0,6.0,7.0,16.0,0.29980657640232106,0.35376532399299476,0.44874274661508706,False,True,1996,BAL,4279379,6.631380751153176,-0.12910594601241687,0.7428379007016184
alomaro01,1996,8,153,588,132,193,43,4,22,94.0,17.0,6.0,90,65.0,10.0,1.0,8.0,12.0,14.0,0.3282312925170068,0.4109985528219971,0.5272108843537415,False,True,1997,BAL,6354379,6.803073114284002,-0.07218252709309425,0.846871412691569
alomaro01,1997,9,112,412,64,137,23,2,14,60.0,9.0,3.0,40,43.0,2.0,3.0,7.0,7.0,10.0,0.3325242718446602,0.38961038961038963,0.5,False,True,1998,BAL,6343771,6.802347497255419,-0.32997434071103715,0.46776277715687503
alomaro01,1998,10,147,588,86,166,36,1,14,56.0,18.0,5.0,59,70.0,3.0,2.0,3.0,5.0,11.0,0.282312925170068,0.3470948012232416,0.41836734693877553,False,True,1999,CLE,7049966,6.848187022516506,-0.16738780536422748,0.6801617337239269
alomaro01,1999,11,159,563,138,182,40,3,24,120.0,37.0,6.0,99,96.0,3.0,7.0,12.0,13.0,13.0,0.32326820603907636,0.4222873900293255,0.5328596802841918,False,True,2000,CLE,7196656,6.8571307439168505,0.004751855285873852,1.0110016288304726
alomaro01,2000,12,155,610,111,189,40,2,19,89.0,39.0,4.0,64,82.0,4.0,6.0,11.0,6.0,19.0,0.30983606557377047,0.37755102040816324,0.47540983606557374,False,True,2001,CLE,7750000,6.889301702506311,0.0664996770961368,1.1654661842968912
